observation_date,measurement_type,weather_station_id,attributes,temperature,city
2019-12-12,tmax,GHCND:USW00094745,",,W,2400",54.0,New York
2019-12-12,tmax,GHCND:USW00094789,",,W,2400",35.0,New York
2019-12-13,tmax,GHCND:USC00280907,",,7,0700",34.0,New York
2019-12-13,tmax,GHCND:USC00281335,",,7,0700",35.0,New York
2019-12-13,tmax,GHCND:USC00283704,",,7,0700",35.0,New York
2019-12-13,tmax,GHCND:USC00284987,",,7,0630",45.0,New York
2019-12-13,tmax,GHCND:USC00289187,",,7,0700",30.0,New York
2019-12-13,tmax,GHCND:USC00301309,",,7,0700",32.0,New York
2019-12-13,tmax,GHCND:USC00308577,",,7,0800",33.0,New York
2019-12-13,tmax,GHCND:USW00014732,",,W,2400",47.0,New York
2019-12-13,tmax,GHCND:USW00014734,",,W,2400",49.0,New York
2019-12-13,tmax,GHCND:USW00054743,",,W,",49.0,New York
2019-12-13,tmax,GHCND:USW00054787,",,W,",55.0,New York
2019-12-13,tmax,GHCND:USW00094728,",,W,2400",48.0,New York
2019-12-13,tmax,GHCND:USW00094741,",,W,",50.0,New York
2019-12-13,tmax,GHCND:USW00094745,",,W,2400",49.0,New York
2019-12-13,tmax,GHCND:USW00094789,",,W,2400",54.0,New York
2019-12-14,tmax,GHCND:USC00280907,",,7,0700",50.0,New York
2019-12-14,tmax,GHCND:USC00281335,",,7,0700",48.0,New York
2019-12-14,tmax,GHCND:USC00283704,",,7,0700",48.0,New York
2019-12-14,tmax,GHCND:USC00284987,",,7,0630",56.0,New York
2019-12-14,tmax,GHCND:USC00301309,",,7,0700",49.0,New York
2019-12-14,tmax,GHCND:USC00308577,",,7,0800",56.0,New York
2019-12-14,tmax,GHCND:USW00014732,",,W,2400",56.0,New York
2019-12-14,tmax,GHCND:USW00014734,",,W,2400",57.0,New York
2019-12-14,tmax,GHCND:USW00054743,",,W,",56.0,New York
2019-12-14,tmax,GHCND:USW00054787,",,W,",58.0,New York
2019-12-14,tmax,GHCND:USW00094728,",,W,2400",56.0,New York
2019-12-14,tmax,GHCND:USW00094741,",,W,",57.0,New York
2019-12-14,tmax,GHCND:USW00094745,",,W,2400",54.0,New York
2019-12-14,tmax,GHCND:USW00094789,",,W,2400",56.0,New York
2019-12-15,tmax,GHCND:USC00280907,",,7,0700",51.0,New York
2019-12-15,tmax,GHCND:USC00281335,",,7,0700",55.0,New York
2019-12-15,tmax,GHCND:USC00283704,",,7,0700",52.0,New York
2019-12-15,tmax,GHCND:USC00284987,",,7,0630",56.0,New York
2019-12-15,tmax,GHCND:USC00301309,",,7,0700",58.0,New York
2019-12-15,tmax,GHCND:USC00308577,",,7,0800",56.0,New York
2019-12-15,tmax,GHCND:USW00014732,",,W,2400",50.0,New York
2019-12-15,tmax,GHCND:USW00014734,",,W,2400",49.0,New York
2019-12-15,tmax,GHCND:USW00054743,",,W,",49.0,New York
2019-12-15,tmax,GHCND:USW00054787,",,W,",50.0,New York
2019-12-15,tmax,GHCND:USW00094728,",,W,2400",49.0,New York
2019-12-15,tmax,GHCND:USW00094741,",,W,",49.0,New York
2019-12-15,tmax,GHCND:USW00094745,",,W,2400",46.0,New York
2019-12-15,tmax,GHCND:USW00094789,",,W,2400",50.0,New York
2019-12-16,tmax,GHCND:USC00280907,",,7,0700",46.0,New York
2019-12-16,tmax,GHCND:USC00281335,",,7,0700",48.0,New York
2019-12-16,tmax,GHCND:USC00283704,",,7,0700",48.0,New York
2019-12-16,tmax,GHCND:USC00284987,",,7,0630",48.0,New York
2019-12-16,tmax,GHCND:USC00301309,",,7,0700",47.0,New York
2019-12-16,tmax,GHCND:USC00308577,",,7,0800",47.0,New York
2019-12-16,tmax,GHCND:USW00014732,",,W,2400",38.0,New York
2019-12-16,tmax,GHCND:USW00014734,",,W,2400",37.0,New York
2019-12-16,tmax,GHCND:USW00054743,",,W,",37.0,New York
2019-12-16,tmax,GHCND:USW00054787,",,W,",37.0,New York
2019-12-16,tmax,GHCND:USW00094728,",,W,2400",37.0,New York
2019-12-16,tmax,GHCND:USW00094741,",,W,",37.0,New York
2019-12-16,tmax,GHCND:USW00094745,",,W,2400",34.0,New York
2019-12-16,tmax,GHCND:USW00094789,",,W,2400",37.0,New York
2019-12-17,tmax,GHCND:USC00280907,",,7,0700",34.0,New York
2019-12-17,tmax,GHCND:USC00281335,",,7,0700",35.0,New York
2019-12-17,tmax,GHCND:USC00283704,",,7,0700",36.0,New York
2019-12-17,tmax,GHCND:USC00284987,",,7,0630",39.0,New York
2019-12-17,tmax,GHCND:USC00289187,",,7,0700",32.0,New York
2019-12-17,tmax,GHCND:USC00301309,",,7,0700",35.0,New York
2019-12-17,tmax,GHCND:USC00308577,",,7,0800",36.0,New York
2019-12-17,tmax,GHCND:USW00014732,",,W,2400",37.0,New York
2019-12-17,tmax,GHCND:USW00014734,",,W,2400",36.0,New York
2019-12-17,tmax,GHCND:USW00054743,",,W,",36.0,New York
2019-12-17,tmax,GHCND:USW00054787,",,W,",36.0,New York
2019-12-17,tmax,GHCND:USW00094728,",,W,2400",35.0,New York
2019-12-17,tmax,GHCND:USW00094741,",,W,",35.0,New York
2019-12-17,tmax,GHCND:USW00094745,",,W,2400",32.0,New York
2019-12-17,tmax,GHCND:USW00094789,",,W,2400",36.0,New York
2019-12-18,tmax,GHCND:USC00280907,",,7,0700",34.0,New York
2019-12-18,tmax,GHCND:USC00281335,",,7,0700",34.0,New York
2019-12-18,tmax,GHCND:USC00283704,",,7,0700",34.0,New York
2019-12-18,tmax,GHCND:USC00284987,",,7,0630",39.0,New York
2019-12-18,tmax,GHCND:USC00289187,",,7,0700",32.0,New York
2019-12-18,tmax,GHCND:USC00301309,",,7,0700",34.0,New York
2019-12-18,tmax,GHCND:USC00308577,",,7,0800",33.0,New York
2019-12-18,tmax,GHCND:USW00014732,",,W,2400",37.0,New York
2019-12-18,tmax,GHCND:USW00014734,",,W,2400",37.0,New York
2019-12-18,tmax,GHCND:USW00054743,",,W,",35.0,New York
2019-12-18,tmax,GHCND:USW00054787,",,W,",39.0,New York
2019-12-18,tmax,GHCND:USW00094728,",,W,2400",36.0,New York
2019-12-18,tmax,GHCND:USW00094741,",,W,",36.0,New York
2019-12-18,tmax,GHCND:USW00094745,",,W,2400",33.0,New York
2019-12-18,tmax,GHCND:USW00094789,",,W,2400",39.0,New York
2019-12-19,tmax,GHCND:USC00280907,",,7,0700",33.0,New York
2019-12-19,tmax,GHCND:USC00281335,",,7,0700",35.0,New York
2019-12-19,tmax,GHCND:USC00283704,",,7,0700",35.0,New York
2019-12-19,tmax,GHCND:USC00284987,",,7,0630",38.0,New York
2019-12-19,tmax,GHCND:USC00301309,",,7,0700",38.0,New York
2019-12-19,tmax,GHCND:USC00308577,",,7,0800",37.0,New York
2019-12-19,tmax,GHCND:USW00014732,",,W,2400",27.0,New York
